,geometry,cell_suid,resolution,cell_region,ellipsoidal_shape,nucleus,theoretical_area,calculated_area,error
0,"POLYGON ((19.999999478459355 1.0000003905377317, 19.99999955296516 1.0000003905377317, 19.999999627470967 1.0000003905377317, 19.999999701976776 1.0000003905377317, 19.99999977648258 1.0000003905377317, 19.999999850988385 1.0000003905377317, 19.999999925494194 1.0000003905377317, 19.999999999999996 1.0000003905377317, 20.000000074505806 1.0000003905377317, 20.000000149011612 1.0000003905377317, 20.000000149011612 1.0000003270018643, 20.000000149011612 1.0000002634659961, 20.000000149011612 1.0000001999301287, 20.000000149011612 1.0000001363942612, 20.000000149011612 1.000000072858393, 20.000000149011612 1.0000000093225256, 20.000000149011612 0.9999999457866579, 20.000000149011612 0.9999998822507904, 20.000000149011612 0.9999998187149224, 20.000000074505806 0.9999998187149224, 19.999999999999996 0.9999998187149224, 19.999999925494194 0.9999998187149224, 19.999999850988385 0.9999998187149224, 19.99999977648258 0.9999998187149224, 19.999999701976776 0.9999998187149224, 19.999999627470967 0.9999998187149224, 19.99999955296516 0.9999998187149224, 19.999999478459355 0.9999998187149224, 19.999999478459355 0.9999998822507904, 19.999999478459355 0.9999999457866579, 19.999999478459355 1.0000000093225256, 19.999999478459355 1.000000072858393, 19.999999478459355 1.0000001363942612, 19.999999478459355 1.0000001999301287, 19.999999478459355 1.0000002634659961, 19.999999478459355 1.0000003270018643, 19.999999478459355 1.0000003905377317))",Q023332003130203110001132003,27,equatorial,quad,"(np.float64(19.99999981373548), np.float64(1.0000001046263272))",0.004719054977565239,0.004719055274450772,-2.9688553265100337e-10
1,"POLYGON ((19.999998807907104 1.000000962360538, 19.999998956918716 1.000000962360538, 19.99999910593033 1.000000962360538, 19.999999254941944 1.000000962360538, 19.999999403953556 1.000000962360538, 19.999999552965164 1.000000962360538, 19.99999970197678 1.000000962360538, 19.999999850988385 1.000000962360538, 20 1.000000962360538, 20.000000149011612 1.000000962360538, 20.000000149011612 1.0000008352888026, 20.000000149011612 1.0000007082170672, 20.000000149011612 1.000000581145332, 20.000000149011612 1.0000004540735963, 20.000000149011612 1.000000327001861, 20.000000149011612 1.0000001999301258, 20.000000149011612 1.0000000728583902, 20.000000149011612 0.9999999457866549, 20.000000149011612 0.9999998187149194, 20 0.9999998187149194, 19.99999985098839 0.9999998187149194, 19.99999970197678 0.9999998187149194, 19.999999552965164 0.9999998187149194, 19.999999403953556 0.9999998187149194, 19.999999254941944 0.9999998187149194, 19.999999105930332 0.9999998187149194, 19.999998956918716 0.9999998187149194, 19.999998807907104 0.9999998187149194, 19.999998807907104 0.9999999457866549, 19.999998807907104 1.0000000728583902, 19.999998807907104 1.0000001999301258, 19.999998807907104 1.000000327001861, 19.999998807907104 1.0000004540735963, 19.999998807907104 1.000000581145332, 19.999998807907104 1.0000007082170672, 19.999998807907104 1.0000008352888026, 19.999998807907104 1.000000962360538))",Q02333200313020311000113200,26,equatorial,quad,"(np.float64(19.99999947845936), np.float64(1.0000003905377288))",0.018876219910260957,0.018876220006113126,-9.585216995122714e-11
2,"POLYGON ((19.999998807907104 1.000000962360538, 19.99999910593033 1.000000962360538, 19.999999403953556 1.000000962360538, 19.99999970197678 1.000000962360538, 20 1.000000962360538, 20.000000298023224 1.000000962360538, 20.000000596046448 1.000000962360538, 20.000000894069675 1.000000962360538, 20.000001192092896 1.000000962360538, 20.000001490116116 1.000000962360538, 20.000001490116116 1.0000007082170672, 20.000001490116116 1.0000004540735963, 20.000001490116116 1.0000001999301258, 20.000001490116116 0.9999999457866549, 20.000001490116116 0.9999996916431844, 20.000001490116116 0.9999994374997133, 20.000001490116116 0.9999991833562427, 20.000001490116116 0.9999989292127721, 20.000001490116116 0.9999986750693016, 20.000001192092896 0.9999986750693016, 20.000000894069668 0.9999986750693016, 20.000000596046444 0.9999986750693016, 20.000000298023224 0.9999986750693016, 20 0.9999986750693016, 19.999999701976776 0.9999986750693016, 19.99999940395355 0.9999986750693016, 19.99999910593033 0.9999986750693016, 19.999998807907104 0.9999986750693016, 19.999998807907104 0.9999989292127721, 19.999998807907104 0.9999991833562427, 19.999998807907104 0.9999994374997133, 19.999998807907104 0.9999996916431844, 19.999998807907104 0.9999999457866549, 19.999998807907104 1.0000001999301258, 19.999998807907104 1.0000004540735963, 19.999998807907104 1.0000007082170672, 19.999998807907104 1.000000962360538))",Q0233320031302031100011320,25,equatorial,quad,"(np.float64(20.000000149011612), np.float64(0.9999998187149194))",0.07550487964104383,0.07550487848080913,1.1602346999817215e-09
3,"POLYGON ((19.999998807907104 1.000000962360538, 19.999999403953556 1.000000962360538, 20 1.000000962360538, 20.000000596046448 1.000000962360538, 20.000001192092896 1.000000962360538, 20.000001788139343 1.000000962360538, 20.00000238418579 1.000000962360538, 20.000002980232242 1.000000962360538, 20.000003576278687 1.000000962360538, 20.000004172325138 1.000000962360538, 20.000004172325138 1.0000004540735963, 20.000004172325138 0.9999999457866549, 20.000004172325138 0.9999994374997133, 20.000004172325138 0.9999989292127721, 20.000004172325138 0.9999984209258308, 20.000004172325138 0.9999979126388896, 20.000004172325138 0.9999974043519484, 20.000004172325138 0.9999968960650073, 20.000004172325138 0.9999963877780664, 20.000003576278687 0.9999963877780664, 20.000002980232242 0.9999963877780664, 20.00000238418579 0.9999963877780664, 20.000001788139343 0.9999963877780664, 20.000001192092896 0.9999963877780664, 20.000000596046448 0.9999963877780664, 20 0.9999963877780664, 19.999999403953556 0.9999963877780664, 19.999998807907104 0.9999963877780664, 19.999998807907104 0.9999968960650073, 19.999998807907104 0.9999974043519484, 19.999998807907104 0.9999979126388896, 19.999998807907104 0.9999984209258308, 19.999998807907104 0.9999989292127723, 19.999998807907104 0.9999994374997133, 19.999998807907104 0.9999999457866549, 19.999998807907104 1.0000004540735963, 19.999998807907104 1.000000962360538))",Q023332003130203110001132,24,equatorial,quad,"(np.float64(20.000001490116116), np.float64(0.9999986750693016))",0.3020195185641753,0.3020195191655584,-6.013831099771494e-10
4,"POLYGON ((19.999998807907104 1.0000055369430199, 20 1.0000055369430199, 20.000001192092896 1.0000055369430199, 20.00000238418579 1.0000055369430199, 20.000003576278687 1.0000055369430199, 20.000004768371582 1.0000055369430199, 20.000005960464474 1.0000055369430199, 20.000007152557373 1.0000055369430199, 20.00000834465027 1.0000055369430199, 20.000009536743168 1.0000055369430199, 20.000009536743168 1.000004520369136, 20.000009536743168 1.0000035037952513, 20.000009536743168 1.000002487221368, 20.000009536743168 1.0000014706474842, 20.000009536743168 1.0000004540736007, 20.000009536743168 0.9999994374997179, 20.000009536743168 0.9999984209258351, 20.000009536743168 0.9999974043519528, 20.000009536743168 0.9999963877780711, 20.00000834465027 0.9999963877780711, 20.000007152557377 0.9999963877780711, 20.00000596046448 0.9999963877780711, 20.000004768371586 0.9999963877780711, 20.00000357627869 0.9999963877780711, 20.000002384185795 0.9999963877780711, 20.0000011920929 0.9999963877780711, 20.000000000000007 0.9999963877780711, 19.999998807907104 0.9999963877780711, 19.999998807907104 0.9999974043519528, 19.999998807907104 0.9999984209258354, 19.999998807907104 0.9999994374997179, 19.999998807907104 1.0000004540736007, 19.999998807907104 1.0000014706474842, 19.999998807907104 1.000002487221368, 19.999998807907104 1.0000035037952515, 19.999998807907104 1.000004520369136, 19.999998807907104 1.0000055369430199))",Q02333200313020311000113,23,equatorial,quad,"(np.float64(20.000004172325138), np.float64(1.0000009623605424))",1.2080780742567012,1.2080780773000284,-3.0433271458463196e-09
5,"POLYGON ((19.999988079071045 1.0000146861079962, 19.999990463256832 1.0000146861079962, 19.999992847442623 1.0000146861079962, 19.999995231628418 1.0000146861079962, 19.999997615814205 1.0000146861079962, 20 1.0000146861079962, 20.00000238418579 1.0000146861079962, 20.000004768371582 1.0000146861079962, 20.000007152557373 1.0000146861079962, 20.000009536743164 1.0000146861079962, 20.000009536743164 1.0000126529602218, 20.000009536743164 1.000010619812449, 20.000009536743164 1.0000085866646773, 20.000009536743164 1.000006553516907, 20.000009536743164 1.0000045203691375, 20.000009536743164 1.0000024872213695, 20.000009536743164 1.0000004540736027, 20.000009536743164 0.9999984209258369, 20.000009536743164 0.9999963877780724, 20.000007152557373 0.9999963877780724, 20.000004768371582 0.9999963877780724, 20.00000238418579 0.9999963877780724, 20 0.9999963877780724, 19.999997615814205 0.9999963877780724, 19.999995231628418 0.9999963877780724, 19.999992847442623 0.9999963877780724, 19.999990463256832 0.9999963877780724, 19.999988079071045 0.9999963877780724, 19.999988079071045 0.9999984209258369, 19.999988079071045 1.0000004540736025, 19.999988079071045 1.0000024872213695, 19.999988079071045 1.0000045203691375, 19.999988079071045 1.0000065535169067, 19.999988079071045 1.0000085866646773, 19.999988079071045 1.000010619812449, 19.999988079071045 1.0000126529602218, 19.999988079071045 1.0000146861079962))",Q0233320031302031100011,22,equatorial,quad,"(np.float64(19.999998807907104), np.float64(1.0000055369430219))",4.832312297026805,4.832312296971235,5.5569771006958035e-11
6,"POLYGON ((19.999966621398922 1.0000146861079962, 19.999971389770508 1.0000146861079962, 19.999976158142086 1.0000146861079962, 19.999980926513672 1.0000146861079962, 19.999985694885254 1.0000146861079962, 19.999990463256832 1.0000146861079962, 19.999995231628418 1.0000146861079962, 20 1.0000146861079962, 20.000004768371582 1.0000146861079962, 20.000009536743164 1.0000146861079962, 20.000009536743164 1.000010619812449, 20.000009536743164 1.000006553516907, 20.000009536743164 1.0000024872213695, 20.000009536743164 0.9999984209258369, 20.000009536743164 0.9999943546303095, 20.000009536743164 0.9999902883347866, 20.000009536743164 0.999986222039269, 20.000009536743164 0.9999821557437563, 20.000009536743164 0.9999780894482486, 20.000004768371582 0.9999780894482486, 20 0.9999780894482486, 19.999995231628418 0.9999780894482486, 19.999990463256832 0.9999780894482486, 19.999985694885254 0.9999780894482486, 19.999980926513672 0.9999780894482486, 19.999976158142086 0.9999780894482486, 19.999971389770508 0.9999780894482486, 19.999966621398922 0.9999780894482486, 19.999966621398922 0.9999821557437563, 19.999966621398922 0.999986222039269, 19.999966621398922 0.9999902883347866, 19.999966621398922 0.9999943546303095, 19.999966621398922 0.9999984209258369, 19.999966621398922 1.0000024872213695, 19.999966621398922 1.000006553516907, 19.999966621398922 1.000010619812449, 19.999966621398922 1.0000146861079962))",Q023332003130203110001,21,equatorial,quad,"(np.float64(19.999988079071045), np.float64(0.9999963877780724))",19.32924918810722,19.329249183548107,4.559112198876392e-09
7,"POLYGON ((19.999923706054688 1.0000146861079962, 19.99993324279785 1.0000146861079962, 19.999942779541016 1.0000146861079962, 19.999952316284176 1.0000146861079962, 19.999961853027344 1.0000146861079962, 19.999971389770508 1.0000146861079962, 19.999980926513672 1.0000146861079962, 19.999990463256832 1.0000146861079962, 20 1.0000146861079962, 20.000009536743164 1.0000146861079962, 20.000009536743164 1.000006553516907, 20.000009536743164 0.9999984209258369, 20.000009536743164 0.9999902883347866, 20.000009536743164 0.9999821557437563, 20.000009536743164 0.9999740231527456, 20.000009536743164 0.9999658905617542, 20.000009536743164 0.9999577579707825, 20.000009536743164 0.9999496253798305, 20.000009536743164 0.9999414927888979, 20 0.9999414927888979, 19.999990463256832 0.9999414927888979, 19.999980926513672 0.9999414927888979, 19.999971389770508 0.9999414927888979, 19.999961853027344 0.9999414927888979, 19.999952316284176 0.9999414927888979, 19.999942779541016 0.9999414927888979, 19.99993324279785 0.9999414927888979, 19.999923706054688 0.9999414927888979, 19.999923706054688 0.9999496253798305, 19.999923706054688 0.9999577579707825, 19.999923706054688 0.9999658905617542, 19.999923706054688 0.9999740231527456, 19.999923706054688 0.9999821557437563, 19.999923706054688 0.9999902883347866, 19.999923706054688 0.9999984209258369, 19.999923706054688 1.000006553516907, 19.999923706054688 1.0000146861079962))",Q02333200313020311000,20,equatorial,quad,"(np.float64(19.999966621398922), np.float64(0.9999780894482486))",77.31699675242888,77.31699672651031,2.591856684830418e-08
8,"POLYGON ((19.999923706054688 1.0000146861079962, 19.999942779541016 1.0000146861079962, 19.999961853027344 1.0000146861079962, 19.999980926513672 1.0000146861079962, 20 1.0000146861079962, 20.000019073486328 1.0000146861079962, 20.000038146972653 1.0000146861079962, 20.000057220458984 1.0000146861079962, 20.00007629394531 1.0000146861079962, 20.00009536743164 1.0000146861079962, 20.00009536743164 0.9999984209258369, 20.00009536743164 0.9999821557437563, 20.00009536743164 0.9999658905617542, 20.00009536743164 0.9999496253798305, 20.00009536743164 0.999933360197985, 20.00009536743164 0.9999170950162177, 20.00009536743164 0.9999008298345295, 20.00009536743164 0.9998845646529194, 20.00009536743164 0.9998682994713877, 20.00007629394531 0.9998682994713877, 20.000057220458984 0.9998682994713877, 20.000038146972653 0.9998682994713877, 20.000019073486325 0.9998682994713877, 19.999999999999996 0.9998682994713877, 19.999980926513672 0.9998682994713877, 19.999961853027344 0.9998682994713877, 19.999942779541016 0.9998682994713877, 19.999923706054688 0.9998682994713877, 19.999923706054688 0.9998845646529194, 19.999923706054688 0.9999008298345295, 19.999923706054688 0.9999170950162177, 19.999923706054688 0.999933360197985, 19.999923706054688 0.9999496253798305, 19.999923706054688 0.9999658905617542, 19.999923706054688 0.9999821557437563, 19.999923706054688 0.9999984209258369, 19.999923706054688 1.0000146861079962))",Q0233320031302031100,19,equatorial,quad,"(np.float64(20.000009536743164), np.float64(0.9999414927888979))",309.2679870097155,309.26798695623734,5.347817477741046e-08
9,"POLYGON ((19.999923706054688 1.0000146861079962, 19.999961853027344 1.0000146861079962, 20 1.0000146861079962, 20.000038146972653 1.0000146861079962, 20.00007629394531 1.0000146861079962, 20.000114440917965 1.0000146861079962, 20.000152587890625 1.0000146861079962, 20.00019073486328 1.0000146861079962, 20.000228881835934 1.0000146861079962, 20.000267028808594 1.0000146861079962, 20.000267028808594 0.9999821557437563, 20.000267028808594 0.9999496253798305, 20.000267028808594 0.9999170950162177, 20.000267028808594 0.9998845646529194, 20.000267028808594 0.9998520342899346, 20.000267028808594 0.9998195039272632, 20.000267028808594 0.9997869735649061, 20.000267028808594 0.9997544432028623, 20.000267028808594 0.9997219128411322, 20.000228881835934 0.9997219128411322, 20.000190734863274 0.9997219128411322, 20.000152587890625 0.9997219128411322, 20.000114440917965 0.9997219128411322, 20.00007629394531 0.9997219128411322, 20.000038146972653 0.9997219128411322, 19.999999999999996 0.9997219128411322, 19.999961853027344 0.9997219128411322, 19.999923706054688 0.9997219128411322, 19.999923706054688 0.9997544432028623, 19.999923706054688 0.9997869735649061, 19.999923706054688 0.9998195039272632, 19.999923706054688 0.9998520342899346, 19.999923706054688 0.9998845646529194, 19.999923706054688 0.9999170950162177, 19.999923706054688 0.9999496253798305, 19.999923706054688 0.9999821557437563, 19.999923706054688 1.0000146861079962))",Q023332003130203110,18,equatorial,quad,"(np.float64(20.00009536743164), np.float64(0.9998682994713877))",1237.071948038862,1237.0719480032062,3.565583028830588e-08
