,geometry,cell_suid,resolution,cell_region,ellipsoidal_shape,nucleus,theoretical_area,calculated_area,error
0,"POLYGON ((19.999999478459355 1.0000003894208678, 19.99999955296516 1.0000003894208678, 19.999999627470967 1.0000003894208678, 19.99999970197678 1.0000003894208678, 19.99999977648258 1.0000003894208678, 19.999999850988385 1.0000003894208678, 19.999999925494194 1.0000003894208678, 19.999999999999996 1.0000003894208678, 20.000000074505806 1.0000003894208678, 20.000000149011612 1.0000003894208678, 20.000000149011612 1.000000325885, 20.000000149011612 1.0000002623491322, 20.000000149011612 1.0000001988132647, 20.000000149011612 1.0000001352773977, 20.000000149011612 1.0000000717415294, 20.000000149011612 1.0000000082056617, 20.000000149011612 0.9999999446697944, 20.000000149011612 0.9999998811339268, 20.000000149011612 0.9999998175980591, 20.000000074505806 0.9999998175980591, 19.999999999999996 0.9999998175980591, 19.999999925494194 0.9999998175980591, 19.999999850988385 0.9999998175980591, 19.99999977648258 0.9999998175980591, 19.99999970197678 0.9999998175980591, 19.999999627470967 0.9999998175980591, 19.99999955296516 0.9999998175980591, 19.999999478459355 0.9999998175980591, 19.999999478459355 0.9999998811339268, 19.999999478459355 0.9999999446697944, 19.999999478459355 1.0000000082056617, 19.999999478459355 1.0000000717415294, 19.999999478459355 1.0000001352773977, 19.999999478459355 1.0000001988132647, 19.999999478459355 1.0000002623491322, 19.999999478459355 1.000000325885, 19.999999478459355 1.0000003894208678))",Q023332003130203110001132003,27,equatorial,quad,"(np.float64(19.99999981373548), np.float64(1.0000001035094634))",0.004719054977565239,0.004719054789980863,1.8758437598381805e-10
1,"POLYGON ((19.999998807907104 1.000000961243673, 19.999998956918716 1.000000961243673, 19.99999910593033 1.000000961243673, 19.999999254941947 1.000000961243673, 19.999999403953556 1.000000961243673, 19.999999552965164 1.000000961243673, 19.99999970197678 1.000000961243673, 19.999999850988385 1.000000961243673, 20 1.000000961243673, 20.000000149011612 1.000000961243673, 20.000000149011612 1.000000834171938, 20.000000149011612 1.000000707100203, 20.000000149011612 1.0000005800284675, 20.000000149011612 1.0000004529567321, 20.000000149011612 1.000000325884997, 20.000000149011612 1.0000001988132619, 20.000000149011612 1.0000000717415265, 20.000000149011612 0.9999999446697914, 20.000000149011612 0.9999998175980559, 20 0.9999998175980559, 19.99999985098839 0.9999998175980559, 19.99999970197678 0.9999998175980559, 19.999999552965164 0.9999998175980559, 19.999999403953556 0.9999998175980559, 19.999999254941947 0.9999998175980559, 19.999999105930332 0.9999998175980559, 19.999998956918716 0.9999998175980559, 19.999998807907104 0.9999998175980559, 19.999998807907104 0.9999999446697914, 19.999998807907104 1.0000000717415265, 19.999998807907104 1.0000001988132619, 19.999998807907104 1.000000325884997, 19.999998807907104 1.0000004529567321, 19.999998807907104 1.0000005800284675, 19.999998807907104 1.000000707100203, 19.999998807907104 1.000000834171938, 19.999998807907104 1.000000961243673))",Q02333200313020311000113200,26,equatorial,quad,"(np.float64(19.99999947845936), np.float64(1.0000003894208647))",0.018876219910260957,0.018876219353566103,5.566948534097005e-10
2,"POLYGON ((19.999998807907104 1.000000961243673, 19.99999910593033 1.000000961243673, 19.999999403953556 1.000000961243673, 19.99999970197678 1.000000961243673, 20 1.000000961243673, 20.000000298023224 1.000000961243673, 20.000000596046448 1.000000961243673, 20.00000089406968 1.000000961243673, 20.000001192092896 1.000000961243673, 20.000001490116116 1.000000961243673, 20.000001490116116 1.000000707100203, 20.000001490116116 1.0000004529567321, 20.000001490116116 1.0000001988132619, 20.000001490116116 0.9999999446697914, 20.000001490116116 0.9999996905263208, 20.000001490116116 0.9999994363828503, 20.000001490116116 0.99999918223938, 20.000001490116116 0.9999989280959096, 20.000001490116116 0.9999986739524395, 20.000001192092896 0.9999986739524395, 20.000000894069668 0.9999986739524395, 20.000000596046444 0.9999986739524395, 20.000000298023224 0.9999986739524395, 20 0.9999986739524395, 19.99999970197678 0.9999986739524395, 19.99999940395355 0.9999986739524395, 19.99999910593033 0.9999986739524395, 19.999998807907104 0.9999986739524395, 19.999998807907104 0.9999989280959096, 19.999998807907104 0.99999918223938, 19.999998807907104 0.9999994363828503, 19.999998807907104 0.9999996905263208, 19.999998807907104 0.9999999446697914, 19.999998807907104 1.0000001988132619, 19.999998807907104 1.0000004529567321, 19.999998807907104 1.000000707100203, 19.999998807907104 1.000000961243673))",Q0233320031302031100011320,25,equatorial,quad,"(np.float64(20.000000149011612), np.float64(0.9999998175980559))",0.07550487964104383,0.07550487910043116,5.406126657447885e-10
3,"POLYGON ((19.999998807907104 1.000000961243673, 19.999999403953556 1.000000961243673, 20 1.000000961243673, 20.000000596046448 1.000000961243673, 20.000001192092896 1.000000961243673, 20.000001788139343 1.000000961243673, 20.00000238418579 1.000000961243673, 20.000002980232242 1.000000961243673, 20.000003576278687 1.000000961243673, 20.00000417232514 1.000000961243673, 20.00000417232514 1.0000004529567321, 20.00000417232514 0.9999999446697914, 20.00000417232514 0.9999994363828503, 20.00000417232514 0.9999989280959096, 20.00000417232514 0.9999984198089689, 20.00000417232514 0.9999979115220284, 20.00000417232514 0.9999974032350876, 20.00000417232514 0.9999968949481471, 20.00000417232514 0.9999963866612067, 20.000003576278687 0.9999963866612067, 20.000002980232242 0.9999963866612067, 20.00000238418579 0.9999963866612067, 20.000001788139343 0.9999963866612067, 20.000001192092896 0.9999963866612067, 20.000000596046448 0.9999963866612067, 20 0.9999963866612067, 19.999999403953556 0.9999963866612067, 19.999998807907104 0.9999963866612067, 19.999998807907104 0.9999968949481471, 19.999998807907104 0.9999974032350876, 19.999998807907104 0.9999979115220284, 19.999998807907104 0.9999984198089689, 19.999998807907104 0.9999989280959098, 19.999998807907104 0.9999994363828503, 19.999998807907104 0.9999999446697914, 19.999998807907104 1.0000004529567321, 19.999998807907104 1.000000961243673))",Q023332003130203110001132,24,equatorial,quad,"(np.float64(20.000001490116116), np.float64(0.9999986739524395))",0.3020195185641753,0.30201951789460796,6.695673460122009e-10
4,"POLYGON ((19.999998807907104 1.0000055358261504, 20 1.0000055358261504, 20.000001192092896 1.0000055358261504, 20.00000238418579 1.0000055358261504, 20.000003576278687 1.0000055358261504, 20.000004768371582 1.0000055358261504, 20.000005960464474 1.0000055358261504, 20.000007152557373 1.0000055358261504, 20.00000834465027 1.0000055358261504, 20.000009536743168 1.0000055358261504, 20.000009536743168 1.000004519252267, 20.000009536743168 1.0000035026783838, 20.000009536743168 1.0000024861045014, 20.000009536743168 1.000001469530619, 20.000009536743168 1.0000004529567366, 20.000009536743168 0.9999994363828548, 20.000009536743168 0.9999984198089732, 20.000009536743168 0.9999974032350919, 20.000009536743168 0.9999963866612114, 20.00000834465027 0.9999963866612114, 20.000007152557377 0.9999963866612114, 20.00000596046448 0.9999963866612114, 20.000004768371586 0.9999963866612114, 20.00000357627869 0.9999963866612114, 20.000002384185795 0.9999963866612114, 20.0000011920929 0.9999963866612114, 20.000000000000007 0.9999963866612114, 19.999998807907104 0.9999963866612114, 19.999998807907104 0.9999974032350919, 19.999998807907104 0.9999984198089734, 19.999998807907104 0.9999994363828548, 19.999998807907104 1.0000004529567366, 19.999998807907104 1.000001469530619, 19.999998807907104 1.0000024861045014, 19.999998807907104 1.000003502678384, 19.999998807907104 1.000004519252267, 19.999998807907104 1.0000055358261504))",Q02333200313020311000113,23,equatorial,quad,"(np.float64(20.00000417232514), np.float64(1.000000961243678))",1.2080780742567012,1.208078068916103,5.340598185910039e-09
5,"POLYGON ((19.999988079071045 1.000014684991116, 19.999990463256832 1.000014684991116, 19.999992847442623 1.000014684991116, 19.999995231628418 1.000014684991116, 19.999997615814205 1.000014684991116, 20 1.000014684991116, 20.00000238418579 1.000014684991116, 20.000004768371582 1.000014684991116, 20.000007152557373 1.000014684991116, 20.000009536743164 1.000014684991116, 20.000009536743164 1.000012651843344, 20.000009536743164 1.0000106186955733, 20.000009536743164 1.000008585547804, 20.000009536743164 1.0000065524000363, 20.000009536743164 1.0000045192522686, 20.000009536743164 1.0000024861045032, 20.000009536743164 1.0000004529567386, 20.000009536743164 0.9999984198089751, 20.000009536743164 0.9999963866612127, 20.000007152557373 0.9999963866612127, 20.000004768371582 0.9999963866612127, 20.00000238418579 0.9999963866612127, 20 0.9999963866612127, 19.999997615814205 0.9999963866612127, 19.999995231628418 0.9999963866612127, 19.999992847442623 0.9999963866612127, 19.999990463256832 0.9999963866612127, 19.999988079071045 0.9999963866612127, 19.999988079071045 0.9999984198089751, 19.999988079071045 1.0000004529567383, 19.999988079071045 1.0000024861045032, 19.999988079071045 1.0000045192522686, 19.999988079071045 1.0000065524000359, 19.999988079071045 1.000008585547804, 19.999988079071045 1.0000106186955733, 19.999988079071045 1.000012651843344, 19.999988079071045 1.000014684991116))",Q0233320031302031100011,22,equatorial,quad,"(np.float64(19.999998807907104), np.float64(1.0000055358261524))",4.832312297026805,4.832312289221319,7.805486035294962e-09
6,"POLYGON ((19.999966621398922 1.000014684991116, 19.999971389770508 1.000014684991116, 19.999976158142086 1.000014684991116, 19.999980926513672 1.000014684991116, 19.999985694885254 1.000014684991116, 19.999990463256832 1.000014684991116, 19.999995231628418 1.000014684991116, 20 1.000014684991116, 20.000004768371582 1.000014684991116, 20.000009536743164 1.000014684991116, 20.000009536743164 1.0000106186955733, 20.000009536743164 1.0000065524000363, 20.000009536743164 1.0000024861045032, 20.000009536743164 0.9999984198089751, 20.000009536743164 0.9999943535134522, 20.000009536743164 0.9999902872179339, 20.000009536743164 0.9999862209224208, 20.000009536743164 0.9999821546269125, 20.000009536743164 0.9999780883314091, 20.000004768371582 0.9999780883314091, 20 0.9999780883314091, 19.999995231628418 0.9999780883314091, 19.999990463256832 0.9999780883314091, 19.999985694885254 0.9999780883314091, 19.999980926513672 0.9999780883314091, 19.999976158142086 0.9999780883314091, 19.999971389770508 0.9999780883314091, 19.999966621398922 0.9999780883314091, 19.999966621398922 0.9999821546269125, 19.999966621398922 0.9999862209224208, 19.999966621398922 0.9999902872179339, 19.999966621398922 0.9999943535134522, 19.999966621398922 0.9999984198089751, 19.999966621398922 1.0000024861045032, 19.999966621398922 1.0000065524000363, 19.999966621398922 1.0000106186955733, 19.999966621398922 1.000014684991116))",Q023332003130203110001,21,equatorial,quad,"(np.float64(19.999988079071045), np.float64(0.9999963866612127))",19.32924918810722,19.329249162251266,2.5855953822429e-08
7,"POLYGON ((19.999923706054688 1.000014684991116, 19.99993324279785 1.000014684991116, 19.999942779541016 1.000014684991116, 19.999952316284176 1.000014684991116, 19.999961853027344 1.000014684991116, 19.999971389770508 1.000014684991116, 19.999980926513672 1.000014684991116, 19.999990463256832 1.000014684991116, 20 1.000014684991116, 20.000009536743164 1.000014684991116, 20.000009536743164 1.0000065524000363, 20.000009536743164 0.9999984198089751, 20.000009536743164 0.9999902872179339, 20.000009536743164 0.9999821546269125, 20.000009536743164 0.9999740220359107, 20.000009536743164 0.9999658894449287, 20.000009536743164 0.9999577568539658, 20.000009536743164 0.9999496242630229, 20.000009536743164 0.9999414916720993, 20 0.9999414916720993, 19.999990463256832 0.9999414916720993, 19.999980926513672 0.9999414916720993, 19.999971389770508 0.9999414916720993, 19.999961853027344 0.9999414916720993, 19.999952316284176 0.9999414916720993, 19.999942779541016 0.9999414916720993, 19.99993324279785 0.9999414916720993, 19.999923706054688 0.9999414916720993, 19.999923706054688 0.9999496242630229, 19.999923706054688 0.9999577568539658, 19.999923706054688 0.9999658894449287, 19.999923706054688 0.9999740220359107, 19.999923706054688 0.9999821546269125, 19.999923706054688 0.9999902872179339, 19.999923706054688 0.9999984198089751, 19.999923706054688 1.0000065524000363, 19.999923706054688 1.000014684991116))",Q02333200313020311000,20,equatorial,quad,"(np.float64(19.999966621398922), np.float64(0.9999780883314091))",77.31699675242888,77.31699666283643,8.959244723882875e-08
8,"POLYGON ((19.999923706054688 1.000014684991116, 19.999942779541016 1.000014684991116, 19.999961853027344 1.000014684991116, 19.999980926513672 1.000014684991116, 20 1.000014684991116, 20.000019073486328 1.000014684991116, 20.000038146972653 1.000014684991116, 20.000057220458984 1.000014684991116, 20.00007629394531 1.000014684991116, 20.000095367431644 1.000014684991116, 20.000095367431644 0.9999984198089751, 20.000095367431644 0.9999821546269125, 20.000095367431644 0.9999658894449287, 20.000095367431644 0.9999496242630229, 20.000095367431644 0.9999333590811954, 20.000095367431644 0.9999170938994467, 20.000095367431644 0.9999008287177764, 20.000095367431644 0.9998845635361846, 20.000095367431644 0.9998682983546708, 20.00007629394531 0.9998682983546708, 20.000057220458984 0.9998682983546708, 20.000038146972653 0.9998682983546708, 20.000019073486325 0.9998682983546708, 19.999999999999996 0.9998682983546708, 19.999980926513672 0.9998682983546708, 19.999961853027344 0.9998682983546708, 19.999942779541016 0.9998682983546708, 19.999923706054688 0.9998682983546708, 19.999923706054688 0.9998845635361846, 19.999923706054688 0.9999008287177764, 19.999923706054688 0.9999170938994467, 19.999923706054688 0.9999333590811954, 19.999923706054688 0.9999496242630229, 19.999923706054688 0.9999658894449287, 19.999923706054688 0.9999821546269125, 19.999923706054688 0.9999984198089751, 19.999923706054688 1.000014684991116))",Q0233320031302031100,19,equatorial,quad,"(np.float64(20.000009536743164), np.float64(0.9999414916720993))",309.2679870097155,309.2679867064294,3.032861286555999e-07
9,"POLYGON ((19.999923706054688 1.000014684991116, 19.999961853027344 1.000014684991116, 20 1.000014684991116, 20.000038146972653 1.000014684991116, 20.00007629394531 1.000014684991116, 20.000114440917965 1.000014684991116, 20.000152587890625 1.000014684991116, 20.00019073486328 1.000014684991116, 20.000228881835934 1.000014684991116, 20.000267028808594 1.000014684991116, 20.000267028808594 0.9999821546269125, 20.000267028808594 0.9999496242630229, 20.000267028808594 0.9999170938994467, 20.000267028808594 0.9998845635361846, 20.000267028808594 0.9998520331732359, 20.000267028808594 0.9998195028106006, 20.000267028808594 0.99978697244828, 20.000267028808594 0.9997544420862723, 20.000267028808594 0.9997219117245781, 20.000228881835934 0.9997219117245781, 20.000190734863274 0.9997219117245781, 20.000152587890625 0.9997219117245781, 20.000114440917965 0.9997219117245781, 20.00007629394531 0.9997219117245781, 20.000038146972653 0.9997219117245781, 19.999999999999996 0.9997219117245781, 19.999961853027344 0.9997219117245781, 19.999923706054688 0.9997219117245781, 19.999923706054688 0.9997544420862723, 19.999923706054688 0.99978697244828, 19.999923706054688 0.9998195028106006, 19.999923706054688 0.9998520331732359, 19.999923706054688 0.9998845635361846, 19.999923706054688 0.9999170938994467, 19.999923706054688 0.9999496242630229, 19.999923706054688 0.9999821546269125, 19.999923706054688 1.000014684991116))",Q023332003130203110,18,equatorial,quad,"(np.float64(20.000095367431644), np.float64(0.9998682983546708))",1237.071948038862,1237.0719467346858,1.3041762940702029e-06
