,rCell_suid,rCell_region,rCell_shape,Theoretical_area_of_rcell,rCell_nucleus,qCell_suid,Theoretical_area_of_qcell,qCell_nucleus,Calculated_area_of_rcell,Calculated_area_of_qcell,Calculated_perimeter_of_rcell,Calculated_perimeter_of_qcell,Number_of_densification_points,rCell_ipq,qCell_ipq,rCell_c_sp,qCell_c_sp
0,N0,north_polar,dart,21252734238503.695,"(np.float64(90.0), np.float64(66.53737405253989))",N0,21252734238503.7,"(90.00000000000006, 63.525978951629895)",21252734237898.723,21252734238192.848,18178282.57718395,17851845.93111463,2 ** 16.0,0.8082002402361246,0.8380277800110937,0.7745252302272446,0.8031099558444755
1,N1,north_polar,dart,21252734238503.695,"(np.float64(-2.5444437451708134e-14), np.float64(66.53737405253989))",N1,21252734238503.7,"(0.0, 63.525978951629895)",21252734237898.45,21252734238192.605,18178282.577167384,17851845.931114446,2 ** 16.0,0.8082002402375873,0.8380277800111011,0.7745252302286468,0.8031099558444831
2,N2,north_polar,dart,21252734238503.695,"(np.float64(-180.0), np.float64(66.5373740525399))",N2,21252734238503.7,"(179.99999999999997, 63.52597895162987)",21252734237897.98,21252734238193.133,18178282.57711515,17851845.93111463,2 ** 16.0,0.808200240242214,0.8380277800111049,0.7745252302330816,0.8031099558444857
3,N3,north_polar,dart,21252734238503.695,"(np.float64(-89.99999999999994), np.float64(66.53737405253989))",N3,21252734238503.7,"(-90.00000000000006, 63.525978951629895)",21252734237898.36,21252734238192.816,18178282.577172946,17851845.931114048,2 ** 16.0,0.8082002402370893,0.838027780011147,0.7745252302281697,0.8031099558445266
4,O0,equatorial,quad,21252734238503.695,"(np.float64(-157.5), np.float64(19.552022266396023))",O0,21252734238503.7,"(-154.48024060967938, 18.519766608195102)",21252734238318.66,21252734238192.168,18030755.08537302,17849095.789634433,2 ** 16.0,0.8214797208264529,0.8382860421143333,0.7872513991256487,0.8033574570267481
5,O1,equatorial,quad,21252734238503.695,"(np.float64(-112.49999999999999), np.float64(19.552022266396023))",O1,21252734238503.7,"(-115.51975939032064, 18.519766608195116)",21252734238318.418,21252734238191.953,18030755.085395314,17849095.789634276,2 ** 16.0,0.8214797208244121,0.8382860421143395,0.7872513991236934,0.8033574570267543
6,O2,equatorial,quad,21252734238503.695,"(np.float64(-157.5), np.float64(-19.552022266396023))",O2,21252734238503.7,"(-154.48024060967938, -18.519766608195102)",21252734238319.3,21252734238192.453,18030755.085347205,17849095.789634027,2 ** 16.0,0.8214797208288299,0.8382860421143827,0.7872513991279256,0.803357457026795
7,O3,equatorial,quad,21252734238503.695,"(np.float64(-112.49999999999999), np.float64(-19.552022266396023))",O3,21252734238503.7,"(-115.51975939032064, -18.519766608195116)",21252734238319.332,21252734238192.34,18030755.085369915,17849095.789634246,2 ** 16.0,0.8214797208267619,0.8382860421143575,0.7872513991259438,0.8033574570267711
8,P0,equatorial,quad,21252734238503.695,"(np.float64(-67.49999999999999), np.float64(19.552022266396023))",P0,21252734238503.7,"(-64.48024060967936, 18.519766608195116)",21252734238318.99,21252734238192.76,18030755.085393004,17849095.789634857,2 ** 16.0,0.8214797208246447,0.8382860421143168,0.7872513991239153,0.8033574570267312
9,P1,equatorial,quad,21252734238503.695,"(np.float64(-22.5), np.float64(19.552022266396023))",P1,21252734238503.7,"(-25.519759390320644, 18.519766608195106)",21252734238318.91,21252734238191.938,18030755.085401967,17849095.78963455,2 ** 16.0,0.821479720823825,0.8382860421143131,0.78725139912313,0.8033574570267291
10,P2,equatorial,quad,21252734238503.695,"(np.float64(-67.49999999999999), np.float64(-19.552022266396023))",P2,21252734238503.7,"(-64.48024060967936, -18.519766608195116)",21252734238319.73,21252734238192.7,18030755.085369926,17849095.789634086,2 ** 16.0,0.8214797208267763,0.8382860421143868,0.7872513991259569,0.8033574570267985
11,P3,equatorial,quad,21252734238503.695,"(np.float64(-22.5), np.float64(-19.552022266396023))",P3,21252734238503.7,"(-25.519759390320644, -18.519766608195106)",21252734238319.473,21252734238192.625,18030755.0853813,17849095.789634675,2 ** 16.0,0.8214797208257301,0.8382860421143287,0.7872513991249547,0.8033574570267429
12,Q0,equatorial,quad,21252734238503.695,"(np.float64(22.5), np.float64(19.552022266396023))",Q0,21252734238503.7,"(25.519759390320644, 18.519766608195106)",21252734238318.89,21252734238193.055,18030755.085394695,17849095.789634958,2 ** 16.0,0.8214797208244867,0.838286042114319,0.7872513991237642,0.8033574570267329
13,Q1,equatorial,quad,21252734238503.695,"(np.float64(67.49999999999999), np.float64(19.552022266396023))",Q1,21252734238503.7,"(64.48024060967936, 18.519766608195116)",21252734238318.996,21252734238191.773,18030755.08539659,17849095.789634112,2 ** 16.0,0.8214797208243181,0.8382860421143479,0.7872513991236022,0.8033574570267628
14,Q2,equatorial,quad,21252734238503.695,"(np.float64(22.5), np.float64(-19.552022266396023))",Q2,21252734238503.7,"(25.519759390320644, -18.519766608195106)",21252734238319.63,21252734238192.74,18030755.085381776,17849095.789634537,2 ** 16.0,0.8214797208256926,0.838286042114346,0.7872513991249186,0.8033574570267592
15,Q3,equatorial,quad,21252734238503.695,"(np.float64(67.49999999999999), np.float64(-19.552022266396023))",Q3,21252734238503.7,"(64.48024060967936, -18.519766608195116)",21252734238319.586,21252734238191.816,18030755.08536856,17849095.789634194,2 ** 16.0,0.8214797208268954,0.8382860421143419,0.7872513991260712,0.8033574570267568
