Common latitude,Authalic (mpmath),Authalic (old code),Authalic (new code),Diff. (old - new) E-10,Diff. (new - mpmath) E-10,Diff. (old - mpmath)E-10,Authalic inverse (old code),Authalic inverse (new code),Diff. (auth_inv_new - common)E-10,Diff. (auth_inv_old - common)E-10
-90.0,-90.0,-89.9999982924527,-90.0,17075.47299999999999999999999999999999999999999999999999999999999488088,0.0,17075.47299999999999999999999999999999999999999999999999999999999488088,-90.0,-90.0,0.0,0.0
-89.9,-89.89955130506395429964977254780463398926874677252419641281802563849096,-89.89955130505896,-89.89955130506395,0.04990000000000000000000000000000000000000000000000000000000435270015814,0.00004299649772547804633989268746772524196412818025638490962764287149963464,0.04994299649772547804633989268746772524196412818025638490963199557165778,-89.89999999999506,-89.9,0.0,0.04940000000000000000000000000000000000000000000000000000000163775133811
-89.8,-89.7991026156264212257011825954332299558330347347325956330792642369905,-89.7991026156262,-89.79910261562641,0.00209999999999999999999999999999999999999999999999999999999981151582322,0.0001122570118259543322995583303473473259563307926423699049731918786957439,0.002212257011825954332299558330347347325956330792642369904973003394518964,-89.7999999999901,-89.8,0.0,0.09900000000000000000000000000000000000000000000000000000000436148220424
-89.7,-89.69865393718584487189232421882307792930274185440454504828813936397708,-89.69865393717998,-89.69865393718585,0.05869999999999999999999999999999999999999999999999999999999417945328614,-0.0000512810767578117692207069725814559545495171186063602292350381922124967,0.05864871892324218823077929302741854404545048288139363977075914126107365,-89.69999999998515,-89.69999999999997,0.0002999999999999999999999999999999999999999999999999999999900377000711186,0.1484999999999999999999999999999999999999999999999999999999949509540855
-89.6,-89.59820527524053226754508248021440631319252356058974925448874387218839,-89.59820527523469,-89.59820527524055,0.05860000000000000000000000000000000000000000000000000000000522773274304,-0.0001773245491751978559368680747643941025074551125612781160957678263245236,0.05842267545082480214406313192523560589749254488743872188390945990641851,-89.5999999999802,-89.59999999999998,0.0002000000000000000000000000000000000000000000000000000000010859795280112,0.1979999999999999999999999999999999999999999999999999999999971316951876
-89.5,-89.49775663528858484763420859950762385911626237161845392325268876045369,-89.49775663528719,-89.49775663528858,0.01390000000000000000000000000000000000000000000000000000000592796187139,0.00004847634208599507623859116262371618453923252688760453686694285841145468,0.01394847634208599507623859116262371618453923252688760453687287082028285,-89.49999999997526,-89.5,0.0,0.2473999999999999999999999999999999999999999999999999999999987694465257
-89.4,-89.39730802282782992558896900028949049780658881766223600585930116525738,-89.39730802282553,-89.39730802282783,0.02299999999999999999999999999999999999999999999999999999999738368429141,-0.0000007441103099971050950219341118233776399414069883474262027833760014480006,0.02299925588969000289490497806588817662236005859301165257379460030828996,-89.39999999997032,-89.4,0.0,0.2968000000000000000000000000000000000000000000000000000000004071978638
-89.3,-89.29685944335575216973815662459395423189517131229254302302852066338235,-89.29685944335422,-89.29685944335576,0.01540000000000000000000000000000000000000000000000000000000248153911058,-0.00007830261843375406045768104828687707456976971479336617654796361661091091,0.01532169738156624593954231895171312292543023028520663382345451792249967,-89.29999999996538,-89.30000000000001,-0.0001000000000000000000000000000000000000000000000000000000005429897640056,0.3462000000000000000000000000000000000000000000000000000000020449492019
-89.2,-89.19641090236942508430919328632170140479584131569173896034916776191097,-89.19641090237033,-89.19641090236942,-0.009100000000000000000000000000000000000000000000000000000003046991640918,0.00005084309193286321701404795841315691738960349167761910971695748652563637,-0.009049156908067136782985952041586843082610396508322380890286089505115282,-89.19999999996043,-89.2,0.0,0.3956999999999999999999999999999999999999999999999999999999926344210831
-89.1,-89.0959624053654424958919773059137451286842541794511141774710514310798,-89.09596240536288,-89.09596240536544,0.02559999999999999999999999999999999999999999999999999999999991014893466,0.00002495891977305913745128684254179451114177471051431079799760397498382172,0.02562495891977305913745128684254179451114177471051431079799751412391848,-89.09999999995547,-89.09999999999998,0.0002000000000000000000000000000000000000000000000000000000010859795280112,0.4452999999999999999999999999999999999999999999999999999999953581519493
